trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.4624215394448897, 'e': 0.0038128524566605477}",20,13,9.330258191479174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.46031002506184954, 'e': 0.003651741272571886}",20,9,21.6670882367336,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.45820524127666024, 'e': 0.003497437803686869}",25,13,20.885949934360386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4561071666350765, 'e': 0.003349654391600172}",30,10,37.625096325699495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.45401577975124024, 'e': 0.0032081155328447662}",20,13,12.903517744777735,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.45193105930746164, 'e': 0.003072557365287838}",20,14,11.620474204416304,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.44985298405400315, 'e': 0.0029427271762289555}",20,14,10.812533843016176,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.44778153280886174, 'e': 0.002818382931283437}",20,4,28.279042028393945,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4457166844575536, 'e': 0.002699292823172607}",25,10,28.667805290625633,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.443658417952899, 'e': 0.0025852348395798593}",20,8,20.08517621042858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.44160671231480725, 'e': 0.002475996349266817}",25,0,33.9426209536077,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.43956154663006347, 'e': 0.0023713737056780967}",20,6,25.61694085092253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.43752290005211475, 'e': 0.0022711718672956236}",30,16,25.814947439071137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.43549075180085833, 'e': 0.0021752040340348193}",20,8,25.016780046850254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.43346508116242916, 'e': 0.0020832912990047534}",30,19,23.39470582056263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.43144586748898933, 'e': 0.0019952623149831084}",25,19,7.22097846540516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4294330901985171, 'e': 0.0019109529749841633}",20,10,19.51644201319362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4274267287745976, 'e': 0.0018302061063242888}",25,7,38.77260993953878,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.4254267627662132, 'e': 0.001752871177614654}",25,14,19.032860284501965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.42343317178753553, 'e': 0.0016788040181348644}",25,10,25.65539794705417,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4214459355177172, 'e': 0.0016078665490644253}",20,11,17.572344005850717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.41946503370068516, 'e': 0.0015399265260709306}",25,18,14.683525727363431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.41749044614493386, 'e': 0.0014748572927751535}",20,12,15.243460194536963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.41552215272331966, 'e': 0.0014125375446333878}",20,14,11.78342807307949,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4135601333728554, 'e': 0.0013528511027969007}",20,13,15.4885074569322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.41160436809450635, 'e': 0.0012956866975269014}",25,16,17.642854178364434,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.4096548369529858, 'e': 0.001240937760761245}",20,8,20.962723961753028,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.40771152007655237, 'e': 0.0011885022274462005}",25,0,34.62230165880047,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
